,Unnamed: 0,地區,大廈名稱,家居檢疫最後日期
0,1.0,九龍城區,黃埔花園 2期 10 座,06/02/2020
1,2.0,大埔區,寶馬山 8 座,06/02/2020
2,3.0,中西區,卑路戶街 1 號三匯大廈,06/02/2020
3,4.0,元朗區,美景居 11座,06/02/2020
4,5.0,屯門區,友愛邨愛明樓,06/02/2020
5,6.0,西貢區,健明邨明日樓,06/02/2020
6,7.0,西貢區,天晉 2 座,06/02/2020
7,8.0,油尖旺區,詩歌舞街 83號亮賢居,06/02/2020
8,9.0,油尖旺區,浪祥灣一座,06/02/2020
9,10.0,深水埗區,港灣豪庭 6 座,06/02/2020
10,11.0,黃大仙區,翠竹花園 1 座,06/02/2020
11,12.0,觀塘區,成業街 15-17號成運工業大廈,06/02/2020
12,13.0,觀塘區,樂華北村勤華樓,06/02/2020
13,14.0,觀塘區,順利邨利富樓,06/02/2020
14,15.0,油尖旺區,渡船街文英樓前座,06/02/2020
15,16.0,沙田區,香港中文大學昆棟樓,06/02/2020
16,17.0,屯門區,青山公路 8 號嶺南大學訪客公寓,06/02/2020
17,18.0,沙田區,大圍名城 1 期 1 座,06/02/2020
18,19.0,九龍城區,福佬村道 44A號福興樓,07/02/2020
19,20.0,九龍城區,華豐街 7-8號衡豐樓,07/02/2020
20,21.0,中西區,德福道西 334-350號恒裕大廈,07/02/2020
21,22.0,中西區,德輔道西 464號碧華閣,07/02/2020
22,23.0,中西區,德輔道西 296號良基大廈,07/02/2020
23,24.0,中西區,香港大學日新學院第三學生村,07/02/2020
24,25.0,元朗區,錦上路牛徑村,07/02/2020
0,27.0,西貢區,清水灣道大埔仔村,07/02/2020
1,28.0,沙田區,水泉澳邨峻泉樓,07/02/2020
2,29.0,沙田區,新港城中心 4 期 K 座,07/02/2020
3,30.0,沙田區,沙田第一城 49座,07/02/2020
4,31.0,東區,鰂魚涌新威園 C座,07/02/2020
5,32.0,油尖旺區,利奧坊 2 座,07/02/2020
6,33.0,南區,漁安苑銀安閣,07/02/2020
7,34.0,黃大仙區,竹園南邨麗園樓,07/02/2020
8,35.0,黃大仙區,黃大仙下邨龍逸樓,07/02/2020
9,36.0,葵青區,葵芳邨葵正樓,07/02/2020
10,37.0,葵青區,葵涌廣埸 1 座,07/02/2020
11,38.0,離島區,迎東邨迎悅樓,07/02/2020
12,39.0,觀塘區,順天邨天慈樓,07/02/2020
13,40.0,油尖旺區,佐敦道 18-24號鴻運大廈,07/02/2020
14,41.0,油尖旺區,利奧坊曉岸 1 座,07/02/2020
15,42.0,九龍城區,窩打老道 3A 號,07/02/2020
16,43.0,沙田區,香港中文大學昆棟樓,07/02/2020
17,44.0,九龍城區,黃埔花園第 2期 10 座,08/02/2020
18,45.0,九龍城區,必嘉圍福年新樓,08/02/2020
19,46.0,中西區,加惠臺 1 座,08/02/2020
20,47.0,元朗區,媽横路福順樓,08/02/2020
21,48.0,元朗區,嘉湖山莊麗湖居 4 座,08/02/2020
22,49.0,元朗區,峻巒 1A 期,08/02/2020
23,50.0,屯門區,美樂花園 4 座,08/02/2020
24,51.0,屯門區,美樂花園 10 座,08/02/2020
25,52.0,屯門區,鍾屋村,08/02/2020
26,53.0,屯門區,屯門海翠花園 6 座,08/02/2020
0,55.0,西貢區,李達三葉耀珍伉儷李本俊會議大樓,08/02/2020
1,56.0,西貢區,佳景路 9 號浩明園,08/02/2020
2,57.0,沙田區,顯徑邨顯富樓,08/02/2020
3,58.0,沙田區,大圍名城 3期 3 座,08/02/2020
4,59.0,東區,南豐新邨 6 座,08/02/2020
5,60.0,油尖旺區,凱帆軒 2 座,08/02/2020
6,61.0,荃灣區,楊屋道 100號爵悅庭西爵,08/02/2020
7,62.0,深水埗區,榮昌邨榮俊樓,08/02/2020
8,63.0,深水埗區,海麗邨海和樓,08/02/2020
9,64.0,黃大仙區,黃大仙上邨昌善樓,08/02/2020
10,65.0,葵青區,大窩口邨富賢樓,08/02/2020
11,66.0,離島區,逸東邨瑞逸樓,08/02/2020
12,67.0,灣仔區,海華苑 2 期,08/02/2020
13,68.0,觀塘區,彩興苑彩薈閣,08/02/2020
14,69.0,觀塘區,宜安街 2-4號致昌大厦,08/02/2020
15,70.0,觀塘區,平田邨平誠樓,08/02/2020
16,71.0,元朗區,嘉湖山莊賞湖居 2 座,08/02/2020
17,72.0,荃灣區,環宇海灣 8 座,08/02/2020
18,73.0,中西區,香港大學賽馬會第三學生村宿舍 B 棟,08/02/2020
19,74.0,大埔區,太和邨寶雅苑興和閣,09/02/2020
20,75.0,中西區,皇后大道西 427-437號生昌大厦,09/02/2020
21,76.0,元朗區,水邊圍邨泉水樓,09/02/2020
22,77.0,元朗區,天富苑朗富閣,09/02/2020
23,78.0,北區,上水圍大元村 7 巷,09/02/2020
24,79.0,北區,清河村清照樓,09/02/2020
25,80.0,元朗區,天慈村慈平樓,09/02/2020
26,81.0,油尖旺區,香港理工大學勵志堂,09/02/2020
0,83.0,南區,鴨脷洲邨利添樓,09/02/2020
1,84.0,荃灣區,大窩口邨富德樓,09/02/2020
2,85.0,油尖旺區,港景峰 1 座,09/02/2020
3,86.0,油尖旺區,弼街 69號,10/02/2020
4,87.0,北區,粉嶺中心 A 座,10/02/2020
5,88.0,元朗區,朗屏邨悅屏樓,11/02/2020
6,89.0,屯門區,新都大廈 A 座,11/02/2020
7,90.0,深水埗區,汝洲街 259號彩蘭樓,12/02/2020
8,91.0,屯門區,蝴蝶邨蝶翎樓,12/02/2020
9,92.0,元朗區,嘉湖山莊賞湖居 5 座,13/02/2020
10,93.0,觀塘區,平田邨平誠樓,13/02/2020
11,94.0,北區,莆上村 15號,13/02/2020
12,95.0,沙田區,銀禧花園 5 座,13/02/2020
13,96.0,沙田區,大圍名城 2 期 5 座,13/02/2020
14,97.0,北區,牽晴間 11 座,13/02/2020
15,98.0,深水埗區,福華街 286號榮安大廈,13/02/2020
16,99.0,沙田區,沙田中心廣寧樓,14/02/2020
17,100.0,黃大仙區,鳳德村碧鳳樓,16/02/2020
